cores,datasize,partitions,nblocks,blocksize,time
24,65536,24,4096,16,235.369798
24,65536,24,2048,32,269.095088
24,65536,24,1024,64,260.678895
24,65536,24,512,128,263.865654
24,65536,24,256,256,358.593692
24,65536,24,128,512,358.993479
24,65536,24,64,1024,288.16597
24,65536,24,32,2048,365.106776
24,65536,24,16,4096,288.120387
24,65536,48,4096,16,223.853264
24,65536,48,2048,32,269.808719
24,65536,48,1024,64,270.671067
24,65536,48,512,128,289.494206
24,65536,48,256,256,286.375649
24,65536,48,128,512,287.306353
24,65536,48,64,1024,296.002309
24,65536,48,32,2048,287.737311
24,65536,48,16,4096,361.146092
24,65536,72,4096,16,260.880545
24,65536,72,2048,32,260.188875
24,65536,72,1024,64,302.96524
24,65536,72,512,128,259.910209
24,65536,72,256,256,271.729855
24,65536,72,128,512,220.26321
24,65536,72,64,1024,217.850939
24,65536,72,32,2048,287.669683
24,65536,72,16,4096,294.439505
24,65536,96,4096,16,260.493366
24,65536,96,2048,32,260.351779
24,65536,96,1024,64,249.300096
24,65536,96,512,128,244.287841
24,65536,96,256,256,251.248887
24,65536,96,128,512,271.949446
24,65536,96,64,1024,237.856238
24,65536,96,32,2048,288.672516
24,65536,96,16,4096,368.86271
24,65536,120,4096,16,232.154298
24,65536,120,2048,32,219.519025
24,65536,120,1024,64,251.696178
24,65536,120,512,128,252.800521
24,65536,120,256,256,251.795489
24,65536,120,128,512,253.394383
24,65536,120,64,1024,218.33313
24,65536,120,32,2048,288.33823
24,65536,120,16,4096,292.978625
24,65536,144,4096,16,230.499507
24,65536,144,2048,32,229.375896
24,65536,144,1024,64,248.346716
24,65536,144,512,128,241.251158
24,65536,144,256,256,217.989382
24,65536,144,128,512,220.81933
24,65536,144,64,1024,220.426711
24,65536,144,32,2048,287.870308
24,65536,144,16,4096,294.842344
24,65536,168,4096,16,234.127788
24,65536,168,2048,32,233.944157
24,65536,168,1024,64,236.337705
24,65536,168,512,128,235.503452
24,65536,168,256,256,218.302257
24,65536,168,128,512,217.62998
24,65536,168,64,1024,232.395637
24,65536,168,32,2048,296.477202
24,65536,168,16,4096,293.940881
24,65536,192,4096,16,241.574053
24,65536,192,2048,32,253.526644
24,65536,192,1024,64,228.594546
24,65536,192,512,128,227.132698
24,65536,192,256,256,219.615955
24,65536,192,128,512,217.642351
24,65536,192,64,1024,240.289584
24,65536,192,32,2048,288.080648
24,65536,192,16,4096,297.461795
24,65536,216,4096,16,217.704698
24,65536,216,2048,32,217.095059
24,65536,216,1024,64,221.964183
24,65536,216,512,128,249.694894
24,65536,216,256,256,219.402913
24,65536,216,128,512,220.772281
24,65536,216,64,1024,226.733406
24,65536,216,32,2048,288.815198
24,65536,216,16,4096,298.972241
24,65536,240,4096,16,231.828312
24,65536,240,2048,32,225.119706
24,65536,240,1024,64,239.534147
24,65536,240,512,128,223.391671
24,65536,240,256,256,243.434537
24,65536,240,128,512,219.788106
24,65536,240,64,1024,221.338984
24,65536,240,32,2048,289.212111
24,65536,240,16,4096,340.85342
24,65536,24,4096,16,210.283741
24,65536,24,2048,32,209.380139
24,65536,24,1024,64,263.829461
24,65536,24,512,128,265.127693
24,65536,24,256,256,368.284257
24,65536,24,128,512,357.990057
24,65536,24,64,1024,289.720781
24,65536,24,32,2048,289.490692
24,65536,24,16,4096,289.081366
24,65536,48,4096,16,215.796007
24,65536,48,2048,32,269.226264
24,65536,48,1024,64,279.4253
24,65536,48,512,128,286.69211
24,65536,48,256,256,295.326908
24,65536,48,128,512,306.500786
24,65536,48,64,1024,289.642571
