cores,datasize,partitions,nblocks,blocksize,time
24,131072,24,16,8192,654.840128
24,131072,48,8192,16,442.123345
24,131072,48,4096,32,462.911027
24,131072,48,2048,64,536.341035
24,131072,48,1024,128,557.334443
24,131072,48,512,256,569.918185
24,131072,48,256,512,568.341157
24,131072,48,128,1024,572.97954
24,131072,48,64,2048,571.044892
24,131072,48,32,4096,584.799244
24,131072,48,16,8192,579.701484
24,131072,72,8192,16,468.72401
24,131072,72,4096,32,515.100733
24,131072,72,2048,64,521.965986
24,131072,72,1024,128,516.509315
24,131072,72,512,256,516.002623
24,131072,72,256,512,536.176426
24,131072,72,128,1024,469.388125
24,131072,72,64,2048,506.942736
24,131072,72,32,4096,570.725091
24,131072,72,16,8192,590.77237
24,131072,96,8192,16,535.090949
24,131072,96,4096,32,520.094668
24,131072,96,2048,64,515.622798
24,131072,24,8192,16,485.361225
24,131072,24,4096,32,526.563809
24,131072,24,2048,64,459.364006
24,131072,24,1024,128,517.429649
24,131072,24,512,256,563.386164
24,131072,24,256,512,718.679681
24,131072,24,128,1024,713.663526
24,131072,24,64,2048,574.755408
24,131072,24,32,4096,576.003858
