cores,datasize,partitions,nblocks,blocksize,time
12,1024,48,16,64,13.116699
12,1048576,48,16384,64,6178.781964
12,131072,48,2048,64,1025.602952
12,16384,48,256,64,132.8975
12,2048,48,32,64,18.086852
12,2097152,48,32768,64,12636.564892
12,262144,48,4096,64,1588.862029
12,32768,48,512,64,234.101185
12,4096,48,64,64,35.564684
12,524288,48,8192,64,3381.510006
12,65536,48,1024,64,455.561143
12,8192,48,128,64,65.737811
192,1024,768,16,64,11.819076
192,1048576,768,16384,64,530.644942
192,131072,768,2048,64,68.46227
192,16384,768,256,64,14.640405
192,2048,768,32,64,10.114335
192,2097152,768,32768,64,1117.408195
192,262144,768,4096,64,141.596993
192,32768,768,512,64,20.248595
192,4096,768,64,64,10.115674
192,524288,768,8192,64,272.956954
192,65536,768,1024,64,37.993535
192,8192,768,128,64,9.978493
24,1024,96,16,64,8.781805
24,1048576,96,16384,64,3487.072825
24,131072,96,2048,64,516.635317
24,16384,96,256,64,67.652354
24,2048,96,32,64,13.070036
24,2097152,96,32768,64,7877.205615
24,262144,96,4096,64,1028.696249
24,32768,96,512,64,124.389102
24,4096,96,64,64,18.043753
24,524288,96,8192,64,1835.8835
24,65536,96,1024,64,243.867674
24,8192,96,128,64,34.957824
48,1024,192,16,64,9.858479
48,1048576,192,16384,64,2004.957117
48,131072,192,2048,64,261.270677
48,16384,192,256,64,35.875286
48,2048,192,32,64,9.370586
48,2097152,192,32768,64,3964.890082
48,262144,192,4096,64,474.414553
48,32768,192,512,64,65.956445
48,4096,192,64,64,13.120835
48,524288,192,8192,64,943.07744
48,65536,192,1024,64,133.792482
48,8192,192,128,64,18.518282
96,1024,384,16,64,9.137567
96,1048576,384,16384,64,977.675253
96,131072,384,2048,64,143.090455
96,16384,384,256,64,22.978313
96,2048,384,32,64,9.812619
96,2097152,384,32768,64,2104.385491
96,262144,384,4096,64,298.034842
96,32768,384,512,64,37.907663
96,4096,384,64,64,9.382986
96,524288,384,8192,64,560.851926
96,65536,384,1024,64,76.21974
96,8192,384,128,64,13.878999
